,4AKB_CEG_33_H_1.pdb,1M26_ACE_33_D_1.pdb,1TOQ_CG_33_D_2.pdb,4AKB_ACE_33_B_2.pdb,4AKC_AEG_33_B_2.pdb,1UGY_AEG_33_F_2.pdb,1WS5_AEG_33_F_2.pdb,1TOQ_CG_33_H_3.pdb,1KUJ_CEG_33_H_3.pdb,1KUJ_AEG_33_F_3.pdb,3LM1_CGK_33_D_2.pdb,4R6N_ACE_33_F_3.pdb,1KU8_AEG_33_B_2.pdb,4R6R_EG_33_F_1.pdb,3LM1_CKO_33_L_3.pdb,4AKB_ACE_33_F_1.pdb,3LM1_CKO_33_P_2.pdb,1JAC_EG_33_H_2.pdb,1UGW_ACE_33_D_2.pdb,4R6O_EG_33_H_2.pdb,4R6P_EG_33_F_1.pdb,3LM1_CKO_33_H_1.pdb,1KUJ_AEG_33_B_2.pdb,1JAC_EG_33_F_1.pdb,4AKC_AEG_33_F_1.pdb,1KU8_AEG_33_F_3.pdb,4AKC_AEG_33_D_3.pdb
4AKB_CEG_33_H_1.pdb,1.0,0.9774436090225563,0.9473684210526315,1.0,1.0,0.9774436090225563,0.9774436090225563,0.9473684210526315,0.9774436090225563,0.9774436090225563,0.8195488721804511,0.9774436090225563,0.9774436090225563,0.9774436090225563,0.8195488721804511,1.0,0.8195488721804511,0.9774436090225563,0.9774436090225563,0.9774436090225563,0.9774436090225563,0.8195488721804511,0.9774436090225563,0.9774436090225563,1.0,0.9774436090225563,1.0
1M26_ACE_33_D_1.pdb,0.9774436090225563,1.0,0.9699248120300752,0.9774436090225563,0.9774436090225563,1.0,1.0,0.9699248120300752,1.0,1.0,0.7969924812030075,1.0,1.0,1.0,0.7969924812030075,0.9774436090225563,0.7969924812030075,1.0,1.0,1.0,1.0,0.7969924812030075,1.0,1.0,0.9774436090225563,1.0,0.9774436090225563
1TOQ_CG_33_D_2.pdb,0.9473684210526315,0.9699248120300752,1.0,0.9473684210526315,0.9473684210526315,0.9699248120300752,0.9699248120300752,1.0,0.9699248120300752,0.9699248120300752,0.7744360902255639,0.9699248120300752,0.9699248120300752,0.9699248120300752,0.7744360902255639,0.9473684210526315,0.7744360902255639,0.9699248120300752,0.9699248120300752,0.9699248120300752,0.9699248120300752,0.7744360902255639,0.9699248120300752,0.9699248120300752,0.9473684210526315,0.9699248120300752,0.9473684210526315
4AKB_ACE_33_B_2.pdb,1.0,0.9774436090225563,0.9473684210526315,1.0,1.0,0.9774436090225563,0.9774436090225563,0.9473684210526315,0.9774436090225563,0.9774436090225563,0.8195488721804511,0.9774436090225563,0.9774436090225563,0.9774436090225563,0.8195488721804511,1.0,0.8195488721804511,0.9774436090225563,0.9774436090225563,0.9774436090225563,0.9774436090225563,0.8195488721804511,0.9774436090225563,0.9774436090225563,1.0,0.9774436090225563,1.0
4AKC_AEG_33_B_2.pdb,1.0,0.9774436090225563,0.9473684210526315,1.0,1.0,0.9774436090225563,0.9774436090225563,0.9473684210526315,0.9774436090225563,0.9774436090225563,0.8195488721804511,0.9774436090225563,0.9774436090225563,0.9774436090225563,0.8195488721804511,1.0,0.8195488721804511,0.9774436090225563,0.9774436090225563,0.9774436090225563,0.9774436090225563,0.8195488721804511,0.9774436090225563,0.9774436090225563,1.0,0.9774436090225563,1.0
1UGY_AEG_33_F_2.pdb,0.9774436090225563,1.0,0.9699248120300752,0.9774436090225563,0.9774436090225563,1.0,1.0,0.9699248120300752,1.0,1.0,0.7969924812030075,1.0,1.0,1.0,0.7969924812030075,0.9774436090225563,0.7969924812030075,1.0,1.0,1.0,1.0,0.7969924812030075,1.0,1.0,0.9774436090225563,1.0,0.9774436090225563
1WS5_AEG_33_F_2.pdb,0.9774436090225563,1.0,0.9699248120300752,0.9774436090225563,0.9774436090225563,1.0,1.0,0.9699248120300752,1.0,1.0,0.7969924812030075,1.0,1.0,1.0,0.7969924812030075,0.9774436090225563,0.7969924812030075,1.0,1.0,1.0,1.0,0.7969924812030075,1.0,1.0,0.9774436090225563,1.0,0.9774436090225563
1TOQ_CG_33_H_3.pdb,0.9473684210526315,0.9699248120300752,1.0,0.9473684210526315,0.9473684210526315,0.9699248120300752,0.9699248120300752,1.0,0.9699248120300752,0.9699248120300752,0.7744360902255639,0.9699248120300752,0.9699248120300752,0.9699248120300752,0.7744360902255639,0.9473684210526315,0.7744360902255639,0.9699248120300752,0.9699248120300752,0.9699248120300752,0.9699248120300752,0.7744360902255639,0.9699248120300752,0.9699248120300752,0.9473684210526315,0.9699248120300752,0.9473684210526315
1KUJ_CEG_33_H_3.pdb,0.9774436090225563,1.0,0.9699248120300752,0.9774436090225563,0.9774436090225563,1.0,1.0,0.9699248120300752,1.0,1.0,0.7969924812030075,1.0,1.0,1.0,0.7969924812030075,0.9774436090225563,0.7969924812030075,1.0,1.0,1.0,1.0,0.7969924812030075,1.0,1.0,0.9774436090225563,1.0,0.9774436090225563
1KUJ_AEG_33_F_3.pdb,0.9774436090225563,1.0,0.9699248120300752,0.9774436090225563,0.9774436090225563,1.0,1.0,0.9699248120300752,1.0,1.0,0.7969924812030075,1.0,1.0,1.0,0.7969924812030075,0.9774436090225563,0.7969924812030075,1.0,1.0,1.0,1.0,0.7969924812030075,1.0,1.0,0.9774436090225563,1.0,0.9774436090225563
