,3AVM_AB_108_F_2.pdb,3AVA_AB_108_Y_1.pdb,3AVI_AB_108_F_2.pdb,3AVJ_AB_108_D_1.pdb,3AVK_AB_108_F_2.pdb,3AVB_AB_108_X_2.pdb,3AVK_AB_108_D_1.pdb,3AVJ_AB_108_F_2.pdb,3AVF_AB_108_F_2.pdb,3AVC_AB_108_F_2.pdb,3AVN_AB_108_G_1.pdb,3WNG_AB_108_D_2.pdb,3AVF_AB_108_D_1.pdb,3WNE_AB_108_C_2.pdb,3AVA_AB_108_X_2.pdb,3AV9_AB_108_Y_1.pdb,3WNG_AB_108_C_1.pdb,3AV9_AB_108_X_2.pdb,3AVH_AB_108_E_1.pdb,3AVL_AB_108_E_1.pdb,3WNF_AB_108_D_1.pdb,3AVM_AB_108_D_1.pdb,3AVG_AB_108_F_2.pdb,3AVC_AB_108_D_1.pdb,3WNE_AB_108_D_1.pdb,3AVL_AB_108_F_2.pdb,3AVG_AB_108_D_1.pdb,3AVB_AB_108_Y_1.pdb,3AVH_AB_108_F_2.pdb,3AVI_AB_108_D_1.pdb,3WNF_AB_108_C_2.pdb,3AVN_AB_108_H_2.pdb
3AVM_AB_108_F_2.pdb,1.0,0.993421052631579,1.0,1.0,1.0,0.993421052631579,1.0,1.0,0.993421052631579,1.0,1.0,0.875,0.993421052631579,0.8618421052631579,0.993421052631579,0.993421052631579,0.875,0.993421052631579,1.0,1.0,0.868421052631579,1.0,1.0,1.0,0.8618421052631579,1.0,1.0,0.993421052631579,1.0,1.0,0.868421052631579,1.0
3AVA_AB_108_Y_1.pdb,0.993421052631579,1.0,0.993421052631579,0.993421052631579,0.993421052631579,1.0,0.993421052631579,0.993421052631579,1.0,0.993421052631579,0.993421052631579,0.868421052631579,1.0,0.868421052631579,1.0,1.0,0.868421052631579,1.0,0.993421052631579,0.993421052631579,0.8618421052631579,0.993421052631579,0.993421052631579,0.993421052631579,0.868421052631579,0.993421052631579,0.993421052631579,1.0,0.993421052631579,0.993421052631579,0.8618421052631579,0.993421052631579
3AVI_AB_108_F_2.pdb,1.0,0.993421052631579,1.0,1.0,1.0,0.993421052631579,1.0,1.0,0.993421052631579,1.0,1.0,0.875,0.993421052631579,0.8618421052631579,0.993421052631579,0.993421052631579,0.875,0.993421052631579,1.0,1.0,0.868421052631579,1.0,1.0,1.0,0.8618421052631579,1.0,1.0,0.993421052631579,1.0,1.0,0.868421052631579,1.0
3AVJ_AB_108_D_1.pdb,1.0,0.993421052631579,1.0,1.0,1.0,0.993421052631579,1.0,1.0,0.993421052631579,1.0,1.0,0.875,0.993421052631579,0.8618421052631579,0.993421052631579,0.993421052631579,0.875,0.993421052631579,1.0,1.0,0.868421052631579,1.0,1.0,1.0,0.8618421052631579,1.0,1.0,0.993421052631579,1.0,1.0,0.868421052631579,1.0
3AVK_AB_108_F_2.pdb,1.0,0.993421052631579,1.0,1.0,1.0,0.993421052631579,1.0,1.0,0.993421052631579,1.0,1.0,0.875,0.993421052631579,0.8618421052631579,0.993421052631579,0.993421052631579,0.875,0.993421052631579,1.0,1.0,0.868421052631579,1.0,1.0,1.0,0.8618421052631579,1.0,1.0,0.993421052631579,1.0,1.0,0.868421052631579,1.0
3AVB_AB_108_X_2.pdb,0.993421052631579,1.0,0.993421052631579,0.993421052631579,0.993421052631579,1.0,0.993421052631579,0.993421052631579,1.0,0.993421052631579,0.993421052631579,0.868421052631579,1.0,0.868421052631579,1.0,1.0,0.868421052631579,1.0,0.993421052631579,0.993421052631579,0.8618421052631579,0.993421052631579,0.993421052631579,0.993421052631579,0.868421052631579,0.993421052631579,0.993421052631579,1.0,0.993421052631579,0.993421052631579,0.8618421052631579,0.993421052631579
3AVK_AB_108_D_1.pdb,1.0,0.993421052631579,1.0,1.0,1.0,0.993421052631579,1.0,1.0,0.993421052631579,1.0,1.0,0.875,0.993421052631579,0.8618421052631579,0.993421052631579,0.993421052631579,0.875,0.993421052631579,1.0,1.0,0.868421052631579,1.0,1.0,1.0,0.8618421052631579,1.0,1.0,0.993421052631579,1.0,1.0,0.868421052631579,1.0
3AVJ_AB_108_F_2.pdb,1.0,0.993421052631579,1.0,1.0,1.0,0.993421052631579,1.0,1.0,0.993421052631579,1.0,1.0,0.875,0.993421052631579,0.8618421052631579,0.993421052631579,0.993421052631579,0.875,0.993421052631579,1.0,1.0,0.868421052631579,1.0,1.0,1.0,0.8618421052631579,1.0,1.0,0.993421052631579,1.0,1.0,0.868421052631579,1.0
3AVF_AB_108_F_2.pdb,0.993421052631579,1.0,0.993421052631579,0.993421052631579,0.993421052631579,1.0,0.993421052631579,0.993421052631579,1.0,0.993421052631579,0.993421052631579,0.868421052631579,1.0,0.868421052631579,1.0,1.0,0.868421052631579,1.0,0.993421052631579,0.993421052631579,0.8618421052631579,0.993421052631579,0.993421052631579,0.993421052631579,0.868421052631579,0.993421052631579,0.993421052631579,1.0,0.993421052631579,0.993421052631579,0.8618421052631579,0.993421052631579
3AVC_AB_108_F_2.pdb,1.0,0.993421052631579,1.0,1.0,1.0,0.993421052631579,1.0,1.0,0.993421052631579,1.0,1.0,0.875,0.993421052631579,0.8618421052631579,0.993421052631579,0.993421052631579,0.875,0.993421052631579,1.0,1.0,0.868421052631579,1.0,1.0,1.0,0.8618421052631579,1.0,1.0,0.993421052631579,1.0,1.0,0.868421052631579,1.0
