 3B1J_A 3B1J_B 3QV1_F 3ZDF_A
3B1J_A 1.00 1.00 0.67 0.71
3B1J_B 1.00 1.00 0.67 0.71
3QV1_F 0.67 0.67 1.00 0.64
3ZDF_A 0.71 0.71 0.64 1.00
