 1SEM_B 2DF6_B 3THK_A 4CC2_C 4CC3_G 4CC7_M 4EIK_A 4J9C_A 4J9D_E 4J9E_E 4J9G_E 4Z88_L
1SEM_B 1.00 0.41 0.33 0.20 0.20 0.21 0.29 0.29 0.27 0.28 0.28 0.29
2DF6_B 0.41 1.00 0.25 0.30 0.30 0.29 0.36 0.25 0.24 0.24 0.25 0.28
3THK_A 0.33 0.25 1.00 0.28 0.28 0.29 0.31 0.26 0.29 0.29 0.28 0.18
4CC2_C 0.20 0.30 0.28 1.00 0.97 0.95 0.31 0.33 0.33 0.33 0.34 0.19
4CC3_G 0.20 0.30 0.28 0.97 1.00 0.95 0.31 0.33 0.33 0.33 0.34 0.19
4CC7_M 0.21 0.29 0.29 0.95 0.95 1.00 0.31 0.34 0.34 0.34 0.36 0.18
4EIK_A 0.29 0.36 0.31 0.31 0.31 0.31 1.00 0.45 0.42 0.43 0.45 0.22
4J9C_A 0.29 0.25 0.26 0.33 0.33 0.34 0.45 1.00 0.93 0.93 0.95 0.22
4J9D_E 0.27 0.24 0.29 0.33 0.33 0.34 0.42 0.93 1.00 0.97 0.95 0.21
4J9E_E 0.28 0.24 0.29 0.33 0.33 0.34 0.43 0.93 0.97 1.00 0.96 0.21
4J9G_E 0.28 0.25 0.28 0.34 0.34 0.36 0.45 0.95 0.95 0.96 1.00 0.22
4Z88_L 0.29 0.28 0.18 0.19 0.19 0.18 0.22 0.22 0.21 0.21 0.22 1.00
