 1ELR_A 1ELW_B 2XCB_A 3ESK_A 3FWV_B 3Q47_B 3Q49_B 3UPV_A 4AM9_A 4JL0_B
1ELR_A 1.00 0.26 0.11 1.00 0.96 0.20 0.20 0.18 0.08 0.11
1ELW_B 0.26 1.00 0.13 0.26 0.25 0.19 0.20 0.24 0.14 0.13
2XCB_A 0.11 0.13 1.00 0.11 0.11 0.17 0.17 0.15 0.61 0.93
3ESK_A 1.00 0.26 0.11 1.00 0.96 0.20 0.20 0.18 0.08 0.11
3FWV_B 0.96 0.25 0.11 0.96 1.00 0.18 0.18 0.19 0.09 0.11
3Q47_B 0.20 0.19 0.17 0.20 0.18 1.00 1.00 0.26 0.17 0.17
3Q49_B 0.20 0.20 0.17 0.20 0.18 1.00 1.00 0.26 0.17 0.17
3UPV_A 0.18 0.24 0.15 0.18 0.19 0.26 0.26 1.00 0.15 0.16
4AM9_A 0.08 0.14 0.61 0.08 0.09 0.17 0.17 0.15 1.00 0.60
4JL0_B 0.11 0.13 0.93 0.11 0.11 0.17 0.17 0.16 0.60 1.00
