 3BOO_A 3DDA_A 3DDB_A 3FIE_B 3FII_A
3BOO_A 1.00 0.98 0.98 0.32 0.32
3DDA_A 0.98 1.00 1.00 0.32 0.32
3DDB_A 0.98 1.00 1.00 0.32 0.32
3FIE_B 0.32 0.32 0.32 1.00 1.00
3FII_A 0.32 0.32 0.32 1.00 1.00
