,3JTI_A_38_B_3.pdb,3JQ5_A_38_B_3.pdb,2GNS_A_38_P_2.pdb,1SKG_A_38_B_1.pdb,4GLD_A_38_B_2.pdb,3GCI_A_38_P_1.pdb,1JQ9_A_38_P_2.pdb,3GCI_A_38_P_3.pdb,1MF4_A_38_B_3.pdb,3JTI_A_38_B_1.pdb
3JTI_A_38_B_3.pdb,1.0,1.0,0.3228346456692913,0.3228346456692913,0.3228346456692913,0.9921259842519685,0.3228346456692913,0.9921259842519685,1.0,1.0
3JQ5_A_38_B_3.pdb,1.0,1.0,0.3228346456692913,0.3228346456692913,0.3228346456692913,0.9921259842519685,0.3228346456692913,0.9921259842519685,1.0,1.0
2GNS_A_38_P_2.pdb,0.3228346456692913,0.3228346456692913,1.0,1.0,1.0,0.33070866141732286,1.0,0.33070866141732286,0.3228346456692913,0.3228346456692913
1SKG_A_38_B_1.pdb,0.3228346456692913,0.3228346456692913,1.0,1.0,1.0,0.33070866141732286,1.0,0.33070866141732286,0.3228346456692913,0.3228346456692913
4GLD_A_38_B_2.pdb,0.3228346456692913,0.3228346456692913,1.0,1.0,1.0,0.33070866141732286,1.0,0.33070866141732286,0.3228346456692913,0.3228346456692913
3GCI_A_38_P_1.pdb,0.9921259842519685,0.9921259842519685,0.33070866141732286,0.33070866141732286,0.33070866141732286,1.0,0.33070866141732286,1.0,0.9921259842519685,0.9921259842519685
1JQ9_A_38_P_2.pdb,0.3228346456692913,0.3228346456692913,1.0,1.0,1.0,0.33070866141732286,1.0,0.33070866141732286,0.3228346456692913,0.3228346456692913
3GCI_A_38_P_3.pdb,0.9921259842519685,0.9921259842519685,0.33070866141732286,0.33070866141732286,0.33070866141732286,1.0,0.33070866141732286,1.0,0.9921259842519685,0.9921259842519685
1MF4_A_38_B_3.pdb,1.0,1.0,0.3228346456692913,0.3228346456692913,0.3228346456692913,0.9921259842519685,0.3228346456692913,0.9921259842519685,1.0,1.0
3JTI_A_38_B_1.pdb,1.0,1.0,0.3228346456692913,0.3228346456692913,0.3228346456692913,0.9921259842519685,0.3228346456692913,0.9921259842519685,1.0,1.0
