 2BR8_AE 2BYP_BC 2UZ6_FJ 4EZ1_DE
2BR8_AE 1.00 0.96 1.00 0.97
2BYP_BC 0.96 1.00 0.96 0.97
2UZ6_FJ 1.00 0.96 1.00 0.97
4EZ1_DE 0.97 0.97 0.97 1.00
