 2CNY_A 2CNZ_A 2CO1_A 2CO2_A 2CO4_A
2CNY_A 1.00 1.00 1.00 0.98 1.00
2CNZ_A 1.00 1.00 1.00 0.98 1.00
2CO1_A 1.00 1.00 1.00 0.98 1.00
2CO2_A 0.98 0.98 0.98 1.00 0.98
2CO4_A 1.00 1.00 1.00 0.98 1.00
