 1YYP_A 2ZVL_A 2ZVL_B 2ZVL_C 2ZVM_B 2ZVM_C 2ZVV_B 2ZVW_H 4RJF_A 4ZTD_B 4ZTD_C
1YYP_A 1.00 0.14 0.14 0.14 0.14 0.14 0.13 0.14 0.14 0.13 0.13
2ZVL_A 0.14 1.00 0.99 0.99 0.99 0.98 0.63 0.64 0.96 0.96 0.96
2ZVL_B 0.14 0.99 1.00 1.00 1.00 0.99 0.63 0.64 0.97 0.97 0.97
2ZVL_C 0.14 0.99 1.00 1.00 1.00 0.99 0.63 0.64 0.97 0.97 0.97
2ZVM_B 0.14 0.99 1.00 1.00 1.00 0.99 0.63 0.64 0.97 0.97 0.97
2ZVM_C 0.14 0.98 0.99 0.99 0.99 1.00 0.64 0.64 0.97 0.97 0.97
2ZVV_B 0.13 0.63 0.63 0.63 0.63 0.64 1.00 0.97 0.65 0.64 0.64
2ZVW_H 0.14 0.64 0.64 0.64 0.64 0.64 0.97 1.00 0.66 0.65 0.65
4RJF_A 0.14 0.96 0.97 0.97 0.97 0.97 0.65 0.66 1.00 0.99 0.99
4ZTD_B 0.13 0.96 0.97 0.97 0.97 0.97 0.64 0.65 0.99 1.00 1.00
4ZTD_C 0.13 0.96 0.97 0.97 0.97 0.97 0.64 0.65 0.99 1.00 1.00
