 3MNE_A 4LSJ_A 4MDD_A 4OKW_A
3MNE_A 1.00 0.80 0.78 0.47
4LSJ_A 0.80 1.00 0.91 0.46
4MDD_A 0.78 0.91 1.00 0.43
4OKW_A 0.47 0.46 0.43 1.00
