,4D0Z_E_147_Y_1.pdb,5AJP_A_147_B_1.pdb,5AJN_A_147_P_1.pdb,5AJO_A_147_B_1.pdb
4D0Z_E_147_Y_1.pdb,1.0,0.9780876494023905,0.954183266932271,0.954183266932271
5AJP_A_147_B_1.pdb,0.9780876494023905,1.0,0.9760956175298805,0.9760956175298805
5AJN_A_147_P_1.pdb,0.954183266932271,0.9760956175298805,1.0,1.0
5AJO_A_147_B_1.pdb,0.954183266932271,0.9760956175298805,1.0,1.0
