,3C3Q_A_100_B_2.pdb,2XS1_A_100_B_1.pdb,2XS8_A_100_B_1.pdb
3C3Q_A_100_B_2.pdb,1.0,0.5,0.5
2XS1_A_100_B_1.pdb,0.5,1.0,1.0
2XS8_A_100_B_1.pdb,0.5,1.0,1.0
