 1CF0_A 1CJF_A 1CJF_B 2PAV_P
1CF0_A 1.00 1.00 1.00 0.99
1CJF_A 1.00 1.00 1.00 0.99
1CJF_B 1.00 1.00 1.00 0.99
2PAV_P 0.99 0.99 0.99 1.00
