 2P1L_A 2YQ7_A 3IO8_C 3R85_D 4Z9V_A 4Z9V_B
2P1L_A 1.00 0.96 0.96 0.99 0.92 0.93
2YQ7_A 0.96 1.00 0.99 0.95 0.92 0.93
3IO8_C 0.96 0.99 1.00 0.95 0.92 0.93
3R85_D 0.99 0.95 0.95 1.00 0.91 0.92
4Z9V_A 0.92 0.92 0.92 0.91 1.00 0.99
4Z9V_B 0.93 0.93 0.93 0.92 0.99 1.00
