 1X2R_A 2DYH_A 2Z32_A 3WN7_L 4CH9_A 4CHB_B
1X2R_A 1.00 0.98 1.00 0.99 0.40 0.41
2DYH_A 0.98 1.00 0.98 0.96 0.39 0.40
2Z32_A 1.00 0.98 1.00 0.99 0.40 0.41
3WN7_L 0.99 0.96 0.99 1.00 0.41 0.42
4CH9_A 0.40 0.39 0.40 0.41 1.00 0.84
4CHB_B 0.41 0.40 0.41 0.42 0.84 1.00
