 3SRI_A 3ZWZ_A 4Z09_A 4Z0D_A
3SRI_A 1.00 0.88 0.89 0.90
3ZWZ_A 0.88 1.00 0.84 0.85
4Z09_A 0.89 0.84 1.00 0.99
4Z0D_A 0.90 0.85 0.99 1.00
