,4ZTD_A_105_E_1.pdb,2ZVV_B_105_Y_1.pdb,4ZTD_C_105_F_1.pdb,2ZVW_H_105_P_1.pdb,2ZVL_B_105_V_1.pdb,2ZVL_A_105_U_1.pdb,4RJF_A_105_B_1.pdb,2ZVL_C_105_W_1.pdb
4ZTD_A_105_E_1.pdb,1.0,0.640625,0.99609375,0.65234375,0.9609375,0.953125,0.9921875,0.9609375
2ZVV_B_105_Y_1.pdb,0.640625,1.0,0.63671875,0.96875,0.6328125,0.6328125,0.6484375,0.6328125
4ZTD_C_105_F_1.pdb,0.99609375,0.63671875,1.0,0.6484375,0.95703125,0.94921875,0.98828125,0.95703125
2ZVW_H_105_P_1.pdb,0.65234375,0.96875,0.6484375,1.0,0.64453125,0.64453125,0.66015625,0.64453125
2ZVL_B_105_V_1.pdb,0.9609375,0.6328125,0.95703125,0.64453125,1.0,0.9921875,0.96875,1.0
2ZVL_A_105_U_1.pdb,0.953125,0.6328125,0.94921875,0.64453125,0.9921875,1.0,0.9609375,0.9921875
4RJF_A_105_B_1.pdb,0.9921875,0.6484375,0.98828125,0.66015625,0.96875,0.9609375,1.0,0.96875
2ZVL_C_105_W_1.pdb,0.9609375,0.6328125,0.95703125,0.64453125,1.0,0.9921875,0.96875,1.0
