 1AVF_J 1DP5_A 1G0V_A 1HTR_B 1TZS_A 3URL_A
1AVF_J 1.00 0.40 0.40 0.96 0.51 0.28
1DP5_A 0.40 1.00 1.00 0.40 0.43 0.28
1G0V_A 0.40 1.00 1.00 0.40 0.43 0.28
1HTR_B 0.96 0.40 0.40 1.00 0.49 0.27
1TZS_A 0.51 0.43 0.43 0.49 1.00 0.28
3URL_A 0.28 0.28 0.28 0.27 0.28 1.00
