 1P9U_F 1UK4_A 1UK4_B 2Q6G_A 2Q6G_B 4ZUH_A
1P9U_F 1.00 0.44 0.44 0.43 0.43 0.59
1UK4_A 0.44 1.00 0.99 0.98 0.99 0.44
1UK4_B 0.44 0.99 1.00 0.99 1.00 0.44
2Q6G_A 0.43 0.98 0.99 1.00 0.99 0.43
2Q6G_B 0.43 0.99 1.00 0.99 1.00 0.44
4ZUH_A 0.59 0.44 0.44 0.43 0.44 1.00
