 1A3R_LH 1EJO_LH 1KC5_LH 1KCS_LH 1N64_LH 1PZ5_AB 1Q1J_HL 1SM3_HL 1TET_LH 1TJG_HL 1TJH_HL 1TJI_HL 1U8H_BA 1U8I_BA 1U8J_BA 1U8K_BA 1U8M_BA 1U8Q_BA 1U91_BA 1U92_BA 1U93_BA 1U95_BA 2B1A_HL 2B1H_HL 2CK0_LH 2FX7_HL 2G5B_AB 2HKF_LH 2P8L_BA 2R0W_LH 2R0Z_LH 2V17_LH 2Y07_HL 3BAE_LH 3C2A_IM 3D0L_BA 3D0V_BA 3E8U_LH 3EYF_CD 3FFD_BA 3G5V_AB 3GGW_CD 3GHB_IM 3GHE_HL 3H0T_BA 3HR5_LH 3IDG_BA 3IFL_LH 3IFN_LH 3LEX_BA 3LEY_LH 3MLR_HL 3MLS_KO 3MLT_HL 3MLV_NM 3MOA_HL 3O6L_LH 3O6M_LH 3QG6_LH 3SGE_IJ 3U0T_AB 3UJI_HL 3UJJ_HL 3UO1_LH 3UYR_LH 4DGY_HL 4GAG_LH 4HHA_BA 4HPO_HL 4HPY_HL 4HS6_LH 4IOI_AB 4JG0_HL 4JO1_MI 4JO2_MI 4N8C_MI 4OJF_LH 4ONF_LH 4ONG_LH 4P3D_BA 4QXU_LH 4TQE_LH 4TUJ_DC 4TUK_LH 4TUL_LH 4WHT_YX 4WY7_HL 4XBE_LH 4XCF_LH 4XH2_AB 4XXD_DE 4YO0_DC 4YR6_ED
1A3R_LH 1.00 0.73 0.71 0.66 0.78 0.68 0.25 0.22 0.71 0.21 0.21 0.21 0.21 0.21 0.21 0.21 0.21 0.21 0.21 0.21 0.21 0.21 0.24 0.25 0.76 0.24 0.78 0.70 0.21 0.72 0.71 0.69 0.22 0.72 0.26 0.22 0.21 0.71 0.55 0.50 0.66 0.72 0.25 0.26 0.27 0.59 0.22 0.71 0.70 0.76 0.75 0.24 0.24 0.24 0.24 0.21 0.73 0.73 0.74 0.72 0.62 0.26 0.25 0.71 0.72 0.23 0.71 0.23 0.26 0.25 0.58 0.60 0.25 0.50 0.50 0.82 0.58 0.74 0.72 0.72 0.71 0.80 0.77 0.79 0.79 0.65 0.24 0.59 0.59 0.22 0.58 0.48 0.66
1EJO_LH 0.73 1.00 0.70 0.63 0.71 0.71 0.23 0.22 0.71 0.22 0.22 0.22 0.23 0.23 0.22 0.23 0.22 0.22 0.23 0.23 0.22 0.22 0.24 0.24 0.74 0.24 0.75 0.74 0.23 0.73 0.72 0.75 0.22 0.70 0.23 0.23 0.23 0.75 0.59 0.60 0.65 0.74 0.22 0.25 0.26 0.61 0.23 0.71 0.71 0.72 0.72 0.23 0.23 0.24 0.24 0.22 0.78 0.78 0.73 0.74 0.55 0.27 0.24 0.75 0.75 0.24 0.77 0.23 0.26 0.25 0.59 0.60 0.25 0.53 0.53 0.73 0.62 0.77 0.77 0.78 0.78 0.70 0.73 0.74 0.74 0.69 0.24 0.58 0.57 0.24 0.64 0.54 0.66
1KC5_LH 0.71 0.70 1.00 0.85 0.73 0.65 0.26 0.24 0.70 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.27 0.27 0.75 0.24 0.73 0.69 0.23 0.71 0.71 0.67 0.24 0.72 0.26 0.24 0.23 0.70 0.56 0.53 0.76 0.70 0.26 0.27 0.28 0.58 0.23 0.75 0.74 0.79 0.79 0.24 0.24 0.24 0.24 0.23 0.72 0.72 0.78 0.72 0.56 0.26 0.27 0.70 0.70 0.25 0.80 0.24 0.28 0.27 0.64 0.59 0.25 0.50 0.50 0.71 0.55 0.71 0.70 0.71 0.71 0.70 0.68 0.69 0.69 0.64 0.24 0.58 0.58 0.24 0.56 0.51 0.71
1KCS_LH 0.66 0.63 0.85 1.00 0.65 0.61 0.24 0.22 0.62 0.23 0.24 0.23 0.24 0.24 0.24 0.23 0.24 0.24 0.24 0.24 0.24 0.24 0.25 0.25 0.65 0.25 0.66 0.63 0.24 0.66 0.66 0.61 0.23 0.65 0.25 0.24 0.24 0.62 0.54 0.46 0.69 0.62 0.24 0.27 0.27 0.56 0.24 0.67 0.67 0.73 0.73 0.23 0.23 0.24 0.24 0.24 0.63 0.63 0.71 0.63 0.53 0.27 0.27 0.63 0.63 0.25 0.71 0.23 0.26 0.26 0.61 0.56 0.24 0.48 0.48 0.65 0.53 0.62 0.61 0.63 0.63 0.62 0.64 0.65 0.65 0.57 0.24 0.55 0.55 0.24 0.54 0.48 0.63
1N64_LH 0.78 0.71 0.73 0.65 1.00 0.67 0.25 0.24 0.82 0.22 0.22 0.22 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.25 0.26 0.78 0.25 0.81 0.70 0.23 0.70 0.68 0.70 0.25 0.71 0.27 0.23 0.22 0.81 0.55 0.50 0.66 0.72 0.26 0.25 0.27 0.59 0.23 0.72 0.73 0.71 0.70 0.24 0.24 0.24 0.24 0.23 0.75 0.75 0.70 0.75 0.59 0.26 0.26 0.73 0.73 0.24 0.71 0.24 0.26 0.26 0.55 0.58 0.26 0.51 0.51 0.78 0.59 0.74 0.73 0.75 0.75 0.76 0.71 0.73 0.73 0.65 0.25 0.59 0.59 0.24 0.58 0.49 0.68
1PZ5_AB 0.68 0.71 0.65 0.61 0.67 1.00 0.22 0.23 0.73 0.22 0.22 0.22 0.22 0.22 0.22 0.23 0.22 0.22 0.22 0.22 0.22 0.22 0.23 0.23 0.75 0.24 0.73 0.81 0.23 0.71 0.71 0.71 0.22 0.70 0.22 0.23 0.23 0.68 0.57 0.49 0.61 0.82 0.22 0.23 0.24 0.64 0.22 0.71 0.71 0.70 0.70 0.22 0.22 0.22 0.22 0.22 0.77 0.77 0.74 0.78 0.58 0.23 0.21 0.81 0.81 0.24 0.67 0.24 0.23 0.23 0.54 0.60 0.24 0.51 0.50 0.67 0.66 0.76 0.76 0.78 0.78 0.74 0.74 0.75 0.75 0.70 0.25 0.55 0.55 0.23 0.67 0.49 0.63
1Q1J_HL 0.25 0.23 0.26 0.24 0.25 0.22 1.00 0.59 0.25 0.52 0.52 0.52 0.51 0.51 0.51 0.52 0.51 0.51 0.51 0.51 0.51 0.51 0.75 0.75 0.24 0.56 0.26 0.23 0.51 0.24 0.24 0.25 0.54 0.25 1.00 0.52 0.51 0.25 0.26 0.25 0.24 0.23 0.99 0.78 0.74 0.26 0.52 0.25 0.24 0.24 0.23 0.71 0.71 0.69 0.70 0.53 0.25 0.24 0.24 0.24 0.27 0.71 0.73 0.23 0.23 0.58 0.24 0.59 0.72 0.77 0.26 0.26 0.60 0.26 0.26 0.25 0.26 0.24 0.23 0.24 0.24 0.25 0.24 0.24 0.24 0.23 0.54 0.28 0.28 0.59 0.26 0.25 0.25
1SM3_HL 0.22 0.22 0.24 0.22 0.24 0.23 0.59 1.00 0.24 0.42 0.42 0.42 0.43 0.43 0.43 0.43 0.43 0.43 0.43 0.43 0.43 0.43 0.52 0.52 0.23 0.46 0.23 0.23 0.43 0.23 0.22 0.22 0.81 0.23 0.59 0.44 0.43 0.23 0.23 0.26 0.23 0.23 0.59 0.59 0.55 0.24 0.43 0.24 0.23 0.23 0.23 0.51 0.52 0.53 0.52 0.42 0.23 0.23 0.24 0.23 0.25 0.55 0.53 0.21 0.21 0.50 0.23 0.52 0.56 0.59 0.24 0.24 0.51 0.25 0.26 0.21 0.25 0.22 0.23 0.21 0.21 0.22 0.21 0.21 0.21 0.24 0.47 0.26 0.26 0.51 0.25 0.25 0.24
1TET_LH 0.71 0.71 0.70 0.62 0.82 0.73 0.25 0.24 1.00 0.22 0.22 0.22 0.22 0.22 0.22 0.23 0.22 0.22 0.22 0.23 0.22 0.22 0.24 0.24 0.75 0.23 0.75 0.77 0.22 0.77 0.75 0.68 0.24 0.76 0.24 0.23 0.22 0.82 0.56 0.53 0.67 0.76 0.25 0.25 0.26 0.59 0.23 0.79 0.79 0.74 0.73 0.23 0.22 0.23 0.23 0.22 0.76 0.76 0.76 0.77 0.62 0.26 0.24 0.78 0.78 0.24 0.72 0.24 0.25 0.25 0.55 0.56 0.24 0.50 0.51 0.72 0.61 0.77 0.78 0.81 0.81 0.81 0.78 0.80 0.80 0.68 0.24 0.58 0.58 0.23 0.65 0.51 0.70
1TJG_HL 0.21 0.22 0.23 0.23 0.22 0.22 0.52 0.42 0.22 1.00 1.00 1.00 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.96 0.97 0.97 0.53 0.53 0.22 0.71 0.23 0.22 0.96 0.22 0.22 0.23 0.40 0.22 0.52 0.95 0.96 0.22 0.26 0.22 0.22 0.21 0.52 0.51 0.56 0.26 0.97 0.22 0.21 0.22 0.22 0.51 0.51 0.49 0.51 0.99 0.22 0.22 0.22 0.22 0.25 0.50 0.52 0.22 0.22 0.73 0.22 0.72 0.50 0.52 0.26 0.25 0.71 0.22 0.22 0.21 0.25 0.21 0.21 0.21 0.22 0.20 0.21 0.21 0.21 0.23 0.69 0.27 0.27 0.75 0.26 0.24 0.22
