 1H24_B 1H25_B 1H26_B 1H27_B 3MI9_B
1H24_B 1.00 1.00 1.00 1.00 0.17
1H25_B 1.00 1.00 1.00 1.00 0.17
1H26_B 1.00 1.00 1.00 1.00 0.17
1H27_B 1.00 1.00 1.00 1.00 0.17
3MI9_B 0.17 0.17 0.17 0.17 1.00
