,2ZNE_A_104_C_1.pdb,3WXA_B_104_D_2.pdb,2ZNE_B_104_D_1.pdb
2ZNE_A_104_C_1.pdb,1.0,0.9940476190476191,0.9940476190476191
3WXA_B_104_D_2.pdb,0.9940476190476191,1.0,1.0
2ZNE_B_104_D_1.pdb,0.9940476190476191,1.0,1.0
