 1YY6_A 2FOJ_A 2FOO_A 2FOP_A 3HQL_B 3HQM_B 3IVQ_B 3MQS_C 4KG9_A 4O1V_A 4YSI_A
1YY6_A 1.00 1.00 1.00 1.00 0.20 0.20 0.20 1.00 0.99 0.19 0.99
2FOJ_A 1.00 1.00 1.00 1.00 0.20 0.20 0.20 1.00 0.99 0.19 0.99
2FOO_A 1.00 1.00 1.00 1.00 0.20 0.20 0.20 1.00 0.99 0.19 0.99
2FOP_A 1.00 1.00 1.00 1.00 0.20 0.20 0.20 1.00 0.99 0.19 0.99
3HQL_B 0.20 0.20 0.20 0.20 1.00 0.99 0.95 0.20 0.20 0.93 0.20
3HQM_B 0.20 0.20 0.20 0.20 0.99 1.00 0.95 0.20 0.20 0.93 0.20
3IVQ_B 0.20 0.20 0.20 0.20 0.95 0.95 1.00 0.20 0.20 0.98 0.20
3MQS_C 1.00 1.00 1.00 1.00 0.20 0.20 0.20 1.00 0.99 0.19 0.99
4KG9_A 0.99 0.99 0.99 0.99 0.20 0.20 0.20 0.99 1.00 0.19 1.00
4O1V_A 0.19 0.19 0.19 0.19 0.93 0.93 0.98 0.19 0.19 1.00 0.19
4YSI_A 0.99 0.99 0.99 0.99 0.20 0.20 0.20 0.99 1.00 0.19 1.00
