 1I8I_BA 1I8K_BA 1MVU_BA 1P4B_HL 2AP2_BA 2AP2_DC 2OTU_HG
1I8I_BA 1.00 1.00 0.50 0.42 0.49 0.49 0.53
1I8K_BA 1.00 1.00 0.50 0.42 0.49 0.49 0.53
1MVU_BA 0.50 0.50 1.00 0.41 0.98 0.98 0.44
1P4B_HL 0.42 0.42 0.41 1.00 0.41 0.41 0.42
2AP2_BA 0.49 0.49 0.98 0.41 1.00 1.00 0.43
2AP2_DC 0.49 0.49 0.98 0.41 1.00 1.00 0.43
2OTU_HG 0.53 0.53 0.44 0.42 0.43 0.43 1.00
