 1CJR_B 1D5D_B 1D5H_B 1RBC_A 1RBE_A 1RBF_A
1CJR_B 1.00 1.00 1.00 0.97 0.97 0.97
1D5D_B 1.00 1.00 1.00 0.97 0.97 0.97
1D5H_B 1.00 1.00 1.00 0.97 0.97 0.97
1RBC_A 0.97 0.97 0.97 1.00 1.00 1.00
1RBE_A 0.97 0.97 0.97 1.00 1.00 1.00
1RBF_A 0.97 0.97 0.97 1.00 1.00 1.00
