 3RO2_A 4A1S_A 4G2V_A 4WND_A 4WNE_A 4WNG_A
3RO2_A 1.00 0.68 0.98 0.97 0.96 0.96
4A1S_A 0.68 1.00 0.67 0.67 0.67 0.67
4G2V_A 0.98 0.67 1.00 0.96 0.97 0.95
4WND_A 0.97 0.67 0.96 1.00 0.98 0.98
4WNE_A 0.96 0.67 0.97 0.98 1.00 0.99
4WNG_A 0.96 0.67 0.95 0.98 0.99 1.00
