,2W73_AB_96_K_2.pdb,2R28_AB_96_D_2.pdb,2W73_AB_96_L_1.pdb,2R28_AB_96_C_1.pdb
2W73_AB_96_K_2.pdb,1.0,0.9657534246575342,1.0,0.9657534246575342
2R28_AB_96_D_2.pdb,0.9657534246575342,1.0,0.9657534246575342,1.0
2W73_AB_96_L_1.pdb,1.0,0.9657534246575342,1.0,0.9657534246575342
2R28_AB_96_C_1.pdb,0.9657534246575342,1.0,0.9657534246575342,1.0
