 1YCQ_A 2Z5S_O 2Z5T_O 3DAB_G 3DAC_A 3EQY_B 3G03_C 3IUX_C 3JZR_A 5AFG_A
1YCQ_A 1.00 0.58 0.56 0.55 0.59 0.55 0.69 0.68 0.65 0.67
2Z5S_O 0.58 1.00 0.90 0.66 0.97 0.65 0.53 0.52 0.47 0.53
2Z5T_O 0.56 0.90 1.00 0.65 0.91 0.62 0.49 0.48 0.48 0.49
3DAB_G 0.55 0.66 0.65 1.00 0.68 0.92 0.53 0.53 0.48 0.53
3DAC_A 0.59 0.97 0.91 0.68 1.00 0.68 0.54 0.53 0.47 0.54
3EQY_B 0.55 0.65 0.62 0.92 0.68 1.00 0.56 0.56 0.48 0.58
3G03_C 0.69 0.53 0.49 0.53 0.54 0.56 1.00 0.98 0.86 0.98
3IUX_C 0.68 0.52 0.48 0.53 0.53 0.56 0.98 1.00 0.85 0.95
3JZR_A 0.65 0.47 0.48 0.48 0.47 0.48 0.86 0.85 1.00 0.84
5AFG_A 0.67 0.53 0.49 0.53 0.54 0.58 0.98 0.95 0.84 1.00
