 1OSV_B 2BJ4_A 2JF9_A 2OVH_A 4IUI_A 4ZUB_B
1OSV_B 1.00 0.16 0.15 0.15 0.18 0.18
2BJ4_A 0.16 1.00 0.96 0.21 0.90 0.91
2JF9_A 0.15 0.96 1.00 0.21 0.92 0.91
2OVH_A 0.15 0.21 0.21 1.00 0.20 0.20
4IUI_A 0.18 0.90 0.92 0.20 1.00 0.93
4ZUB_B 0.18 0.91 0.91 0.20 0.93 1.00
