 2A3Z_A 2D1K_A 2FF6_A 3MN5_A 4B1U_B 4EFH_A
2A3Z_A 1.00 0.97 0.97 0.93 0.94 0.90
2D1K_A 0.97 1.00 0.97 0.93 0.94 0.91
2FF6_A 0.97 0.97 1.00 0.96 0.97 0.92
3MN5_A 0.93 0.93 0.96 1.00 0.97 0.88
4B1U_B 0.94 0.94 0.97 0.97 1.00 0.89
4EFH_A 0.90 0.91 0.92 0.88 0.89 1.00
