 4FYS_A 4HOM_A 4NAQ_A 4OU3_A 5AB0_C
4FYS_A 1.00 0.79 0.79 0.79 0.33
4HOM_A 0.79 1.00 1.00 1.00 0.33
4NAQ_A 0.79 1.00 1.00 1.00 0.33
4OU3_A 0.79 1.00 1.00 1.00 0.33
5AB0_C 0.33 0.33 0.33 0.33 1.00
