 1HQQ_C 1HY2_A 1HY2_D 1SLE_D 1SLG_B 1SLG_D 1STR_D 1STS_D 1VWB_B 1VWO_B 2G5L_A 4Z2O_A 4Z2P_A 4Z2P_B 4Z2V_A
1HQQ_C 1.00 0.97 0.97 0.98 0.96 0.98 0.98 0.98 0.97 0.98 0.98 0.23 0.23 0.23 0.23
1HY2_A 0.97 1.00 1.00 0.98 0.98 0.98 0.98 0.98 1.00 0.98 0.98 0.24 0.23 0.23 0.23
1HY2_D 0.97 1.00 1.00 0.98 0.98 0.98 0.98 0.98 1.00 0.98 0.98 0.23 0.23 0.23 0.23
1SLE_D 0.98 0.98 0.98 1.00 0.98 1.00 1.00 1.00 0.98 1.00 0.98 0.23 0.24 0.23 0.24
1SLG_B 0.96 0.98 0.98 0.98 1.00 0.98 0.98 0.98 0.99 0.98 0.98 0.23 0.23 0.23 0.24
1SLG_D 0.98 0.98 0.98 1.00 0.98 1.00 1.00 1.00 0.98 1.00 0.98 0.23 0.23 0.23 0.23
1STR_D 0.98 0.98 0.98 1.00 0.98 1.00 1.00 1.00 0.98 1.00 0.98 0.23 0.23 0.23 0.23
1STS_D 0.98 0.98 0.98 1.00 0.98 1.00 1.00 1.00 0.98 1.00 0.98 0.23 0.23 0.23 0.23
1VWB_B 0.97 1.00 1.00 0.98 0.99 0.98 0.98 0.98 1.00 0.98 0.98 0.23 0.23 0.23 0.23
1VWO_B 0.98 0.98 0.98 1.00 0.98 1.00 1.00 1.00 0.98 1.00 0.98 0.23 0.24 0.23 0.24
2G5L_A 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 1.00 0.23 0.23 0.23 0.23
4Z2O_A 0.23 0.24 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 1.00 1.00 0.99 1.00
4Z2P_A 0.23 0.23 0.23 0.24 0.23 0.23 0.23 0.23 0.23 0.24 0.23 1.00 1.00 0.99 1.00
4Z2P_B 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.99 0.99 1.00 0.99
4Z2V_A 0.23 0.23 0.23 0.24 0.24 0.23 0.23 0.23 0.23 0.24 0.23 1.00 1.00 0.99 1.00
