 1LEW_A 1LEZ_A 1UKH_A 2B9H_A 2B9I_A 2B9J_A 2FYS_B 2GPH_A 2OKR_D 2Y8O_A 2Y9Q_A 3O71_A 3P4K_A 3PTG_A 3TEI_A 4E73_A 4FMQ_A 4H3B_C 4H3P_D 4UX9_A 4UX9_B 4UX9_C
1LEW_A 1.00 0.99 0.48 0.44 0.44 0.44 0.47 0.47 0.99 0.98 0.46 0.47 0.99 0.48 0.48 0.48 0.46 0.47 0.47 0.47 0.45 0.47
1LEZ_A 0.99 1.00 0.47 0.44 0.44 0.44 0.47 0.47 0.98 0.98 0.46 0.47 0.98 0.48 0.47 0.48 0.46 0.47 0.47 0.47 0.45 0.46
1UKH_A 0.48 0.47 1.00 0.35 0.35 0.35 0.38 0.38 0.48 0.47 0.37 0.39 0.48 0.86 0.38 0.97 0.37 0.84 0.39 0.90 0.92 0.93
2B9H_A 0.44 0.44 0.35 1.00 0.99 1.00 0.50 0.50 0.44 0.44 0.49 0.50 0.44 0.36 0.50 0.36 0.49 0.35 0.50 0.37 0.37 0.38
2B9I_A 0.44 0.44 0.35 0.99 1.00 0.99 0.50 0.50 0.44 0.44 0.49 0.50 0.44 0.36 0.50 0.36 0.49 0.35 0.50 0.37 0.37 0.37
2B9J_A 0.44 0.44 0.35 1.00 0.99 1.00 0.50 0.50 0.44 0.44 0.49 0.50 0.44 0.36 0.50 0.36 0.49 0.35 0.50 0.37 0.37 0.38
2FYS_B 0.47 0.47 0.38 0.50 0.50 0.50 1.00 0.96 0.47 0.47 0.96 0.98 0.46 0.40 0.98 0.39 0.96 0.39 0.98 0.41 0.40 0.41
2GPH_A 0.47 0.47 0.38 0.50 0.50 0.50 0.96 1.00 0.46 0.46 0.98 0.97 0.46 0.40 0.96 0.38 0.98 0.40 0.96 0.40 0.39 0.40
2OKR_D 0.99 0.98 0.48 0.44 0.44 0.44 0.47 0.46 1.00 0.99 0.45 0.47 0.98 0.48 0.47 0.48 0.45 0.46 0.47 0.46 0.45 0.47
2Y8O_A 0.98 0.98 0.47 0.44 0.44 0.44 0.47 0.46 0.99 1.00 0.45 0.47 0.98 0.48 0.47 0.48 0.45 0.46 0.47 0.46 0.45 0.47
2Y9Q_A 0.46 0.46 0.37 0.49 0.49 0.49 0.96 0.98 0.45 0.45 1.00 0.97 0.45 0.40 0.96 0.38 1.00 0.40 0.96 0.40 0.39 0.39
3O71_A 0.47 0.47 0.39 0.50 0.50 0.50 0.98 0.97 0.47 0.47 0.97 1.00 0.47 0.41 0.97 0.39 0.97 0.39 0.97 0.41 0.39 0.41
3P4K_A 0.99 0.98 0.48 0.44 0.44 0.44 0.46 0.46 0.98 0.98 0.45 0.47 1.00 0.48 0.47 0.48 0.45 0.46 0.47 0.46 0.45 0.46
3PTG_A 0.48 0.48 0.86 0.36 0.36 0.36 0.40 0.40 0.48 0.48 0.40 0.41 0.48 1.00 0.40 0.86 0.40 0.96 0.41 0.90 0.87 0.89
3TEI_A 0.48 0.47 0.38 0.50 0.50 0.50 0.98 0.96 0.47 0.47 0.96 0.97 0.47 0.40 1.00 0.39 0.96 0.40 0.99 0.41 0.40 0.40
4E73_A 0.48 0.48 0.97 0.36 0.36 0.36 0.39 0.38 0.48 0.48 0.38 0.39 0.48 0.86 0.39 1.00 0.38 0.84 0.39 0.90 0.91 0.92
4FMQ_A 0.46 0.46 0.37 0.49 0.49 0.49 0.96 0.98 0.45 0.45 1.00 0.97 0.45 0.40 0.96 0.38 1.00 0.40 0.96 0.40 0.39 0.39
4H3B_C 0.47 0.47 0.84 0.35 0.35 0.35 0.39 0.40 0.46 0.46 0.40 0.39 0.46 0.96 0.40 0.84 0.40 1.00 0.40 0.87 0.84 0.86
4H3P_D 0.47 0.47 0.39 0.50 0.50 0.50 0.98 0.96 0.47 0.47 0.96 0.97 0.47 0.41 0.99 0.39 0.96 0.40 1.00 0.40 0.39 0.40
4UX9_A 0.47 0.47 0.90 0.37 0.37 0.37 0.41 0.40 0.46 0.46 0.40 0.41 0.46 0.90 0.41 0.90 0.40 0.87 0.40 1.00 0.95 0.97
4UX9_B 0.45 0.45 0.92 0.37 0.37 0.37 0.40 0.39 0.45 0.45 0.39 0.39 0.45 0.87 0.40 0.91 0.39 0.84 0.39 0.95 1.00 0.97
4UX9_C 0.47 0.46 0.93 0.38 0.37 0.38 0.41 0.40 0.47 0.47 0.39 0.41 0.46 0.89 0.40 0.92 0.39 0.86 0.40 0.97 0.97 1.00
