 1IHJ_B 1MFL_A 1N7F_B 1Q3P_A 1RZX_A 1X8S_A 3JXT_B 3LNY_A 3NFK_A 3NFK_B 3NFL_C 3QJM_B 3RL7_A 4GVD_B 4JOH_B 4JOP_B 4JOR_B 4K72_B 4K75_A 4NNL_B 4Q6H_A
1IHJ_B 1.00 0.24 0.23 0.14 0.28 0.26 0.31 0.23 0.19 0.20 0.20 0.14 0.26 0.17 0.29 0.29 0.29 0.29 0.28 0.17 0.29
1MFL_A 0.24 1.00 0.23 0.21 0.23 0.23 0.29 0.29 0.23 0.23 0.23 0.21 0.28 0.25 0.25 0.25 0.25 0.25 0.25 0.38 0.25
1N7F_B 0.23 0.23 1.00 0.18 0.23 0.23 0.26 0.32 0.15 0.15 0.16 0.16 0.27 0.19 0.32 0.32 0.32 0.32 0.33 0.23 0.32
1Q3P_A 0.14 0.21 0.18 1.00 0.23 0.22 0.21 0.19 0.20 0.20 0.20 0.98 0.19 0.19 0.28 0.28 0.28 0.28 0.28 0.24 0.28
1RZX_A 0.28 0.23 0.23 0.23 1.00 1.00 0.24 0.22 0.23 0.23 0.23 0.24 0.23 0.15 0.23 0.23 0.23 0.23 0.22 0.25 0.23
1X8S_A 0.26 0.23 0.23 0.22 1.00 1.00 0.24 0.22 0.23 0.23 0.23 0.24 0.24 0.15 0.23 0.23 0.23 0.23 0.22 0.25 0.23
3JXT_B 0.31 0.29 0.26 0.21 0.24 0.24 1.00 0.32 0.24 0.23 0.23 0.21 0.39 0.19 0.38 0.38 0.38 0.38 0.37 0.28 0.38
3LNY_A 0.23 0.29 0.32 0.19 0.22 0.22 0.32 1.00 0.21 0.21 0.21 0.19 0.31 0.15 0.33 0.33 0.33 0.33 0.33 0.29 0.33
3NFK_A 0.19 0.23 0.15 0.20 0.23 0.23 0.24 0.21 1.00 0.98 0.93 0.20 0.20 0.20 0.25 0.25 0.25 0.25 0.24 0.25 0.25
3NFK_B 0.20 0.23 0.15 0.20 0.23 0.23 0.23 0.21 0.98 1.00 0.97 0.20 0.21 0.20 0.25 0.25 0.25 0.25 0.22 0.25 0.25
3NFL_C 0.20 0.23 0.16 0.20 0.23 0.23 0.23 0.21 0.93 0.97 1.00 0.20 0.21 0.20 0.25 0.25 0.25 0.25 0.21 0.25 0.22
3QJM_B 0.14 0.21 0.16 0.98 0.24 0.24 0.21 0.19 0.20 0.20 0.20 1.00 0.19 0.19 0.28 0.28 0.28 0.28 0.27 0.23 0.28
3RL7_A 0.26 0.28 0.27 0.19 0.23 0.24 0.39 0.31 0.20 0.21 0.21 0.19 1.00 0.18 0.32 0.32 0.32 0.32 0.32 0.29 0.32
4GVD_B 0.17 0.25 0.19 0.19 0.15 0.15 0.19 0.15 0.20 0.20 0.20 0.19 0.18 1.00 0.20 0.20 0.20 0.20 0.20 0.22 0.20
4JOH_B 0.29 0.25 0.32 0.28 0.23 0.23 0.38 0.33 0.25 0.25 0.25 0.28 0.32 0.20 1.00 1.00 1.00 1.00 0.99 0.24 1.00
4JOP_B 0.29 0.25 0.32 0.28 0.23 0.23 0.38 0.33 0.25 0.25 0.25 0.28 0.32 0.20 1.00 1.00 1.00 1.00 0.99 0.24 1.00
4JOR_B 0.29 0.25 0.32 0.28 0.23 0.23 0.38 0.33 0.25 0.25 0.25 0.28 0.32 0.20 1.00 1.00 1.00 1.00 0.99 0.24 1.00
4K72_B 0.29 0.25 0.32 0.28 0.23 0.23 0.38 0.33 0.25 0.25 0.25 0.28 0.32 0.20 1.00 1.00 1.00 1.00 0.99 0.24 1.00
4K75_A 0.28 0.25 0.33 0.28 0.22 0.22 0.37 0.33 0.24 0.22 0.21 0.27 0.32 0.20 0.99 0.99 0.99 0.99 1.00 0.24 0.99
4NNL_B 0.17 0.38 0.23 0.24 0.25 0.25 0.28 0.29 0.25 0.25 0.25 0.23 0.29 0.22 0.24 0.24 0.24 0.24 0.24 1.00 0.24
4Q6H_A 0.29 0.25 0.32 0.28 0.23 0.23 0.38 0.33 0.25 0.25 0.22 0.28 0.32 0.20 1.00 1.00 1.00 1.00 0.99 0.24 1.00
